Name;Schl;Descriptor;Level;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Short Description
Amanuensis;Tran;;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;Object or objects with writing;10 min./level;Will negates (object);Copy nonmagical text.
Amber Sarcophagus;Evoc;;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One Creature;1 day/level;None;Trap target in stasis sphere w/ hardness 5 and 10 hp/caster level.
Amorphous Form;Tran;;3;1 standard action;Touch;Target;Willing corporeal creature touched;1 min./level (D);Will negates (harmless);Subject becomes puddle-like and can slip through cracks quickly.
Analyze Portal;Div;;3;1 minute;60 ft.;Area;A quarter circle emanating from you to the extreme of the range.;Concentration, up to 1 round/level (D);See text;Detects and analyzes portals within 60 ft.
Analyze Touchstone;Div;;3;1 minute;60 ft.;Area;A quarter circle emanating from you to the extreme of the range;Concentration, up to 1 round/level (D);See text;Find a nearby planar touch-stone and discover its properties.
Ancient Knowledge;Div;;1;1 minute;Personal;Target;You;1 hour/level or until discharged;;Gain a +5 insight bonus on a single Knowledge check.
Animal Growth;Tran;;5;1 standard action;Medium (100 ft. + 10 ft./level);Targets;Up to one animal (Gargantuan or smaller) per two levels, no two of which can be more than 30 ft. apart;1 min./level;Fortitude negates;One animal/two levels doubles in size.
Animalistic Power;Tran;;2;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates (harmless);Subject gains +2 bonus to Str, Dex, and Con.
Animate Breath;Tran;;7;1 standard action;Personal;Target;Your breath weapon;1 round/level;;Your breath weapon becomes an elemental.
Animate Dead;Necr;Evil;4;1 standard action;Touch;Targets;One or more corpses touched;Instantaneous;None;Creates undead skeletons and zombies.
Animate Dead Familiar;Necr;Evil;5;1 round;Touch;Target;Corpse touched;Instantaneous;None;Revives your dead familiar as an undead familiar.
Animate Dread Warrior;Necr;Evil;6;10 minutes;Touch;Target;One humanoid corpse;Instantaneous;None;Transform dead skilled warrior into undead monster you control.
Animate Legion;Necr;Evil;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;One or more corpses, no two of which can be more than 30 ft. apart.;1 round/level;None;Creates skeletons or zombies.
Anticipate Teleportation;Abj;;3;10 minutes;Touch;Area;5-ft./level radius emanation from willing touched creature;1 day;None;Delays teleporting creatures 1 round within range.
Anticold Sphere;Abj;Cold;5;1 standard action;10 ft.;Area;10-ft.-radius emanation, centered on you;10 min./level (D);None;Mobile energy field provides immunity to cold.
Antidragon Aura;Abj;;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;One creature/2 levels, no two of which can be more than 30 ft. apart;1 min./level;Will negates (harmless);Allies gain bonus to AC and saves against dragons.
Antimagic Aura;Abj;;7;1 standard action;Touch;Target;One creature;1 round/level;Will negates;Antimagic field that affects one creature.
Antimagic Field;Abj;;6;1 standard action;10 ft.;Area;10-ft.-radius emanation, centered on you;10 min./level (D);None;Negates magic within 10 ft.
Antimagic Ray;Abj;;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;1 round/level;Will negates (object);Target loses all magical powers.
Antipathy;Ench;Mind-Affecting;8;1 hour;Close (25 ft. + 5 ft./2 levels);Target;One location (up to a 10-ft. cube/level) or one object;2 hours/level (D);Will partial;Object or location affected by spell repels certain creatures.
Appraising Touch;Div;;1;1 standard action;Personal;Target;You;1 min./level;;Grants a bonus on Appraise skill checks.
Arc of Lightning;Conj;Electricity;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;A line between two creatures;Instantaneous;Reflex half;Line of electricity between two creatures (1d6/level damage).
Arcana Form;Tran;;9;1 standard action;Personal;Target;You;10 min./level;None;Become incorporeal and cast spells with your hit points and constitution.
Arcane Bolt;Evoc;Force;1;1 standard action;Medium (100 ft. + 10 ft./level);Targets;Up to five creatures, no two of which can be more than 15 ft. apart;Instantaneous;Reflex half;Launch force bolts (1 + 1/two levels above 1st) at targets for 1d6 + 1 each.
Arcane Eye;Div;;4;10 minutes;Unlimited;Effect;Magical sensor;1 min./level (D);None;Invisible floating eye moves 30 ft./round.
Arcane Lock;Abj;;2;1 standard action;Touch;Target;The door, chest, or portal touched, up to 30 sq. ft./level in size;Permanent;None;Magically locks a portal or chest.
Arcane Mark;Univ;;0;1 standard action;0 ft.;Effect;One personal rune or mark, all of which must fit within 1 sq. ft.;Permanent;None;Inscribes a personal rune (visible or invisible).
Arcane Seal;Abj;;3;1 standard action;Touch;Target;The door, chest, or portal touched, up to 30 sq. ft./level in size;Permanent;None;Magically seals a door, portal or chest.
Arcane Sight;Div;;3;1 standard action;Personal;Target;You;1 min./level (D);;Magical auras become visible to you.
Archon's Focus;Ench;Mind-Affecting;5;1 standard action;Personal;Target;You;1 round/level (D);;Your mind goes into overdrive and you can cast an additional spell of lower level per round, provided any material components are in hand before casting.
Arctic Haze;Conj;Cold;3;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Fog spreads in a 30-ft. radius, 20 ft. high;10 min./level;Fortitude half;Fog obscures vision and deals 4 cold damage/round.
Armor Lock;Tran;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature wearing armor;1 round/level (D);Fortitude negates;Target's armor becomes restrictive, slowing movement to 10 ft.
Arms of Plenty;Tran;;3;1 standard action;Touch;Target;One creature;1 round/level;None;Grow two additional arms.
Arrow Mind;Div;;1;1 immediate action;Personal;Target;You;1 min./level (D);;Immediate. You threaten nearby squares with your bow and fire without provoking attacks of opportunity.
Arrow of Bone;Necr;Death;7;10 minutes;Touch;Target;One projectile or thrown weapon touched;1 hour/level or until discharged;Fortitude partial;Creates a killer missile or thrown weapon, or deals 3d6 +1 (max +20) damage on successful save.
Assay Spell Resistance;Div;;4;1 swift action;Personal;Target;You;1 round/level;;Gain +10 bonus to caster level checks for spell resistance against one creature.
Astral Projection;Necr;Ectomancy;9;30 minutes;Touch;Targets;You plus one additional willing creature touched per two caster levels;See text;None;Projects you and companions onto Astral Plane.
Attract Fine Vermin;Tran;;0;1 standard action;Personal;Target;You;1 min.;None (harmless);Attract a normal vermin to you.
Attune Form;Tran;;4;1 standard action;Touch;Targets;One creature/3 levels;1 day;None;Grant target creature temporary protection against overtly damaging planar traits.
Augment Familiar;Tran;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;Your familiar;Concentration + 1 round/level;Fortitude negates (harmless);Your familiar becomes more powerful.
Augment Object;Tran;;3;1 minute;Close (25 ft. + 5 ft./2 levels);Target;Object of up to 200 cubic ft./level;1 day/level;None (Object);Doubles an object's hardness, adds 20 to the break DC, and grants a save as a magic item.
Aura of Evasion;Abj;;6;1 standard action;10 ft.;Area;10-ft.-radius emanation centered on you;1 min./level;None;All within 10 ft. gain evasion against breath weapons.
Avasculate;Necr;Death, Evil;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;Instantaneous;Fortitude partial;Reduce foe to half hp and stun foe for 1 round by purging blood vessels.
Avoid Planar Effects;Abj;;3;1 immediate action;20 ft.;Targets;One creature/level in a 20-ft.-radius burst centered on you;1 min./level;None;Provides temporary protection against overtly damaging planar traits.
Awaken Construct;Tran;;9;8 hours;Touch;Target;One construct;Instantaneous;Will negates (harmless);Awakens a humanoid-shaped construct to humanlike sentience.
Awaken Undead;Necr;Evil;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;All mindless undead within a circle 25 ft. in radius + 5 ft./2 levels;Instantaneous;None (harmless);Grant sentience to otherwise mindless undead.
Axiomatic Creature;Tran;Good;8;1 round;Touch;Target;One corporeal creature of lawful or neutral alignment that is native to the Material Plane.;Permanent;Fortitude negates (harmless);Transforms creature into an axiomatic creature.
Babau Slime;Tran;;1;1 standard action;Touch;Target;Creature touched;1 min./level;Fortitude negates (harmless);Secrete a body-covering acid that damages foes' weapons.
Backlash;Tran;;4;1 standard action;Touch;Target;Creature touched;10 min./level or until discharged;Will negates;Subject takes damage if it uses spells against another creature.
Balancing Lorecall;Div;;2;1 standard action;Personal;Target;You;1 min./level (D);;You gain a +4 bonus on Balance checks and can balance on impossible surfaces if you have 5 or more ranks in Balance.
Baleful Transposition;Conj;;2;1 standard action;Medium (100 ft. + 10 ft./level);Targets;Two creatures of up to Large size;Instantaneous;Will negates;Two subjects switch places.
Ball Lightning;Evoc;Electricity;5;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One lightning ball;1 round/level;Reflex negates;Energy ball deals 1d6/level electricity damage.
Balor Nimbus;Tran;;2;1 standard action;Personal;Target;You;1 round/level;None;Your flaming body damages foes in grapple.
Bands of Steel;Conj;;3;1 standard action;Medium (100 ft. + 10 ft./level);Target;One Medium or smaller creature;1 round/level;Reflex partial;Bands immobilize or entangle target.
Banishment;Abj;;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;One or more extraplanar creatures, no two of which can be more than 30 ft. apart;Instantaneous;Will negates;Banishes 2 HD/level of extraplanar creatures.
Barghest's Feast;Necr;Evil;7;1 round;Touch;Target;Corpse touched;Instantaneous;Will negates (object);Destroy target corpse, potentially preventing its return to life.
Battering Ram;Evoc;Force;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One object or creature;Instantaneous;None;Deals 1d6 damage plus bull rush.
Battle Hymn;Ench;Mind-Affecting;4;1 standard action;30 ft.;Targets;All allies within 30 ft.;1 round/level;Will negates (harmless);Allies can reroll one Will save/round.
Battlefield Fortification;Tran;Earth;4;1 round;Close (25 ft. + 5 ft./2 levels);Area;Trench or berm to 5 feet long per two caster levels.;Instantaneous;;Create trench or berm.
Battlemagic Perception;Div;;3;1 standard action;Personal;Target;You;10 min./level (D);;Sense and counter spellcasting within 100 feet.
Bear's Endurance;Tran;;2;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates (harmless);Subject gains +4 to Con for 1 min./level.
Bedevil;Conj;Evil;3;1 round;See text;Effect;A mischievous spirit;1 day/level (D);None;Summon a mischievous spirit to torment your enemy.
Belker Claws;Tran;Air;2;1 standard action;Touch;Targets;Living creature;1 round/3 levels, up to 4 rounds;None;One touch/level deals 2d12 damage.
Benign Transposition;Conj;;1;1 standard action;Medium (100 ft. + 10 ft./level);Targets;Two willing creatures of up to Large size;Instantaneous;None;Two willing subjects switch places.
Bestow Curse;Necr;;4;1 standard action;Touch;Target;Creature touched;Permanent;Will negates;-6 to an ability score
Bestow Wound;Tran;;1;1 standard action;Touch;Target;Living creature touched;Instantaneous;Fortitude negates;Caster transfers 1 hp/level of wounds to another.
Bigby's Striking Fist;Evoc;Force;2;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature;Instantaneous;Reflex partial;Hand deals 1d6 nonlethal damage/2 levels (max 5d6) and knocks subject back.
Bigby's Tripping Hand;Evoc;Force;1;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature;Instantaneous;Reflex negates;Hand trips subject.
Bind Item;Evoc;Force;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One object no larger than 3 ft. across;10 min./level;None;See Text
Bite of the Werebear;Tran;;7;1 standard action;Personal;Target;You;1 round/level;;You become enhanced such as that of a brown bear.
Bite of the Wereboar;Tran;;5;1 standard action;Personal;Target;You;1 round/level;;You become enhanced such as that of a boar.
Bite of the Wererat;Tran;;3;1 standard action;Personal;Target;You;1 round/level;;You become enhanced such as that of a dire rat.
Bite of the Weretiger;Tran;;6;1 standard action;Personal;Target;You;1 round/level;;You become enhanced such as that of a tiger
Bite of the Werewolf;Tran;;4;1 standard action;Personal;Target;You;1 round/level;;You become enhanced such as that of a wolf.
Black Bag;Conj;Evil;1;1 standard action;Touch;Effect;A black leather bag;1 day;None;Creates extradimensional bag of torture tools.
Black Blade of Disaster;Conj;;9;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Sword-shaped planar rift;Concentration, up to 1 round/level;None;Floating magic weapon deals damage and may disintegrate targets.
Black Lightning;Evoc;Electricity, Negative, Death, Evil;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;Instantaneous;Reflex half;Ray that deals 1d6/2 levels (Max 10d6) damage, half of which is Electrical energy and the other half is Negative energy.
Black Mulching;Necr;;4;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft.-diameter sphere;1 round/level;None;See Text
Black Tentacles;Conj;;4;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft.-radius spread;1 round/level (D);None;Tentacles grapple all within 15 ft. spread.
Blacklight;Evoc;Darkness;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;A 20-ft.-radius emanation centered on a creature, object or point in space.;1 round/level (D);Will negates or none (object);Creates a 20-ft. radius of supernatural darkness you can see through.
Blackstaff;Tran;;8;1 standard action;Touch;Target;Staff or quarterstaff touched;1 round/level (D);See text;Greatly enhances staff or quarterstaff
Blackwater Taint;Necr;Negative, Water, Evil;6;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft. radius;1 round/level (D);Fortitude partial;Desecrate water, deal 1d6/2 levels negative energy damage, bestow a negative level.
Blackwater Tentacle;Conj;Water, Evil;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One tentacle;1 round/level (D);Fortitude partial;Create blackwater tentacle that attacks your foe.
Blade of Blood;Necr;;1;1 swift action;Touch;Target;Weapon touched;1 round/level or until discharged (D);None;Weapon deals +1d6, or +3d6 if you take 5 points of damage.
Blade of Pain and Fear;Evoc;;3;1 standard action;0 ft.;Effect;Swordlike column of gnashing teeth;1 round/level;Will partial;Creates blade of gnashing teeth.
Bladebane;Tran;;4;1 standard action;Touch;Target;Weapon touched;1 round/level;Will negates (harmless, object);Slashing weapon becomes a bane weapon.
Blades of Fire;Conj;Fire;1;1 swift action;Touch;Targets;Up to two melee weapons you are wielding;1 round;None;Your melee weapons deal +1d8 fire damage for 1 round (swift).
Bladesong;Tran;;2;1 standard action;Touch;Target;Weapon touched;1 round/level;Will negates (harmless, object);Causes weapon to have an extra touch attack to daze opponent.
Bladeweave;Illu;;2;1 swift action;Personal;Target;You;1 round/level (D);See text;Swift. Your melee attack dazes your opponent.
Blast of Flame;Conj;Fire;4;1 standard action;60 ft.;Area;Cone-shaped burst;Instantaneous;Reflex half;60-ft. cone of fire (1d6/level damage).
Blast of Force;Evoc;Force;2;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Ray;Instantaneous;Fortitude partial;Ray deals 1d6 damage/2 caster levels (max 5d6).
Blast of Sand;Conj;Earth;4;1 standard action;30 ft.;Area;Cone-shaped burst;Instantaneous;Reflex half;Cone deals 1d6 damage/level.
Blinding Color Surge;Illu;;2;1 standard action;Medium (100 ft. + 10 ft./level);Targets;You and 1 creature;1 round/level;Will negates;Blind subject for 1 round, gain invisibility.
Blinding Glory;Conj;Good;9;1 hour;Close (25 ft. + 5 ft./2 levels);Area;100 ft/level radius burst centered on you.;1 hour/level;None;Create light as daylight in a 100 ft/level radius burst that blinds evil creatures.
Blindness/Deafness;Necr;;2;1 standard action;Medium (100 ft. + 10 ft./level);Target;One living creature;Permanent (D);Fortitude negates;Makes subject blind or deaf.
Blink;Tran;;3;1 standard action;Personal;Target;You;1 round/level (D);;You randomly vanish and reappear for 1 round/level.
Blockade;Conj;;1;1 swift action;0 ft.;Effect;5-ft. cube of wood;3 rounds;;Fill 5-ft. square with enormous block of wood.
Blood Snow;Necr;Cold, Negative;3;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft. square of snow/level;1 round/level;Fortitude negates;Area of fallen snow drains 1d2 points of Con/round and causes nausea.
Blood Wind;Evoc;;1;1 swift action;Close (25 ft. + 5 ft./2 levels);Target;One creature with Intelligence 4 or higher;1 full round;Will negates (harmless);Subject uses natural weapons as thrown weapons.
Bloodbriars;Evoc;;4;1 standard action;Medium (100 ft. + 10 ft./level);Target;1 creature;1 min./level (D);Will negates;Wraps target in invisible briars that deal 1d8 points of damage per round if movement is attempted.
Bloodstar;Conj;;4;1 standard action;Medium (100 ft. + 10 ft./level);Effect;A bloodstar;1 round/level;Fortitude negates;Hovering construct wounds foe each time foe is damaged.
Blur;Illu;;2;1 standard action;Touch;Target;Creature touched;1 min./level (D);Will negates (harmless);Attacks miss subject 20% of the time.
Body Of The Sun;Tran;Fire;2;1 standard action;5 ft.;Area;5-ft.-radius emanation centered on you;1 round/level;Reflex half;Your body emanates fire, dealing 1d4/2 levels (Max 5d4) damage.
Body of War;Tran;;7;1 standard action;Personal;Target;You;1 round/level (D);;You change into warforged titan, gain some abilities.
Bone Chill;Necr;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;1 round/level;Fortitude negates;Corporeal undead are held by a thick layer of frost.
Bone Tattoo;Necr;;3;1 minute;Touch;Target;One living creature;1 min./level;Will negates (harmless);See Text
Bonefiddle;Necr;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature that has a skeleton or exoskeleton;Concentration, up to 1 round/level;Fortitude negates;Target takes 3d6 sonic damage/round and -20 penalty on Move Silently checks.
Boreal Wind;Evoc;Cold;5;1 standard action;Long (400 ft. + 40 ft./level);Effect;Gust of wind (20 ft. wide, 20 ft. high) emanating out from you to the extreme of the range;1 round + 1 round/2 levels;Fortitude negates;Gust of cold wind deals 1d4 cold damage/level and knocks creatures back.
Break Enchantment;Abj;;5;1 minute;Close (25 ft. + 5 ft./2 levels);Targets;Up to one creature per level, all within 30 ft. of each other;Instantaneous;See text;Frees subjects from enchantments, alterations, curses, and petrification.
Breath Flare;Tran;Light;1;1 swift action;Personal;Target;Your breath weapon;Instantaneous;;Your breath weapon dazzles targets.
Breath Weapon Admixture;Tran;Varies;9;1 swift action;Personal;Target;Your breath weapon;1 round;;Your breath weapon also deals a second type of damage.
Breath Weapon Substitution;Tran;Varies;5;1 swift action;Personal;Target;Your breath weapon;1 round;;Your breath weapon deals a different kind of damage than normal.
Bridge of Sound;Conj;Sonic;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One bridge of sound 5ft. wide, 1 in. think, and up to 10ft./level long;Concentration + 1 round/level;None;Create a ribbon-like, weightless, unbreakable, invisible bridge of sound.
Brilliant Aura;Tran;;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;Weapons carried by one creature/2 levels, no two of which are more than 30 ft. apart;1 round/level;Will negates (harmless);Allies' weapons become brilliant energy, ignoring armor.
Brilliant Blade;Tran;;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One melee or thrown weapon, or fifty projectiles (all of which must be in contact with each other at the time of casting);1 min./level;Will negates (harmless, object);Weapon or group of projectiles gain the brilliant energy quality.
Bristle;Tran;;2;1 standard action;Touch;Area;Suit of armor touched;1 min./level (D);None;Armor spikes attack with wearer.
Brumal Stiffening;Tran;Cold;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One weapon;1 round/level;Reflex negates;Brittle weapon's hardness reduced by 5.
Bull's Strength;Tran;;2;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates (harmless);Subject gains +4 to Str for 1 min./level.
Burning Blood;Tran;Varies;5;1 standard action;Personal;Target;You;1 hour/level;;Your blood deals energy damage to nearby creatures when you are struck.
Burning Hands;Evoc;Fire;1;1 standard action;15 ft.;Area;Cone-shaped burst;Instantaneous;Reflex half;1d4/level fire damage (max 5d4).
Burning Sword;Evoc;Fire;2;1 standard action;Touch;Target;Weapon touched;1 min./level (D);None;Weapon gains flaming burst special ability.
Burrowing Bony Digits;Necr;;4;1 standard action;Medium (100 ft. + 10 ft./level);Target;Up to 5 creatures, no two of which can be more than 15ft. apart;See text;Reflex partial;Shoot the fingers form a dismembered hand and watch them burrow into the flesh of those they hit.
Buzzing Bee;Conj;;1;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature;1 min./level (D);None;Bee gives subject -10 penalty on Move Silently and Concentration checks.
Cacophonic Burst;Evoc;Sonic;5;1 standard action;Long (400 ft. + 40 ft./level);Area;20-ft.-radius burst;Instantaneous;Reflex half;A burst of low noise which deals sonic damage.
Cacophonic Shield;Evoc;Sonic;5;1 standard action;10 ft.;Area;10-ft.-radius emanation, centered on you;1 min./level (D);Fortitude partial;Immobile shield blocks sound, deflects missiles, deals 1d6+1/level and deafens intruders.
Call Dretch Horde;Conj;Evil;5;1 minute;Close (25 ft. + 5 ft./2 levels);Effect;2d4 dretches;Instantaneous;None;Summons 2d4 dretches.
Call Kolyarut;Conj;Lawful;7;10 minutes;Close (25 ft. + 5 ft./2 levels);Effect;One called kolyarut;Instantaneous;None;A kolyarut aids you in punishing an oath-breaker.
Call Lemure Horde;Conj;Evil;5;1 minute;Close (25 ft. + 5 ft./2 levels);Effect;3d4 lemures;Instantaneous;None;Summons 2d4 lemures.
Call Marut;Conj;Lawful;9;10 minutes;Close (25 ft. + 5 ft./2 levels);Effect;One called marut;Instantaneous;None;A marut aids you in pursuing one seeking to cheat time.
Call Nightmare;Conj;Evil;5;1 minute;Medium (100 ft. + 10 ft./level);Effect;One nightmare;Instantaneous;None;Summons a nightmare.
Call Zelekhut;Conj;Lawful;5;10 minutes;Close (25 ft. + 5 ft./2 levels);Effect;One called zelekhut;Instantaneous;None;A zelekhut aids you in hunting a fugitive.
Caltrops;Conj;;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;See text;1 round/level;None;Creates caltrops in 5-ft.-by-5-ft. square, + 5-ft. square/2 levels beyond 1st (max 5).
Candlelight;Evoc;Light;0;1 standard action;Touch;Target;Object touched;1 hour/level;None;Cast a 5-foot radius light from the point touched.
Cat's Grace;Tran;;2;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates (harmless);Subject gains +4 to Dex for 1 min./level.
Catapult;Tran;;2;1 standard action;Touch;Target;One held object, weighing up to 5 lb.;Instantaneous;;Magically propel an object from your hand.
Celerity;Tran;;4;1 immediate action;Personal;Target;You;Instantaneous;;Take a standard action immediately, but be dazed for a round.
Celestial Brilliance;Abj;Good;4;1 standard action;Touch;Target;Object touched;1 day/level (D);None;120 ft emanation of light, bright to 60 feet (double penalty to light sensitive, 1d6 damage to undead, 2d6 damage to evil outsiders and sensitive undead within 60 feet)
Chain Lightning;Evoc;Electricity;6;1 standard action;Long (400 ft. + 40 ft./level);Targets;One primary target, plus one secondary target/level (each of which must be within 30 ft. of the primary target);Instantaneous;Reflex half;1d6/level damage
Chain Missile;Evoc;Force;3;1 standard action;Long (400 ft. + 40 ft./level);Targets;One creature, plus another creature/2 levels (each of which must be within 30 ft. of the primary target);Instantaneous;None;1d4+1/2 levels damage
Chain of Eyes;Div;;2;1 standard action;Touch;Target;Living creature touched;1 hour/level;Will negates;You send magical sensor to infiltrate an area.
Chains of Vengeance;Evoc;Fire;4;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature;1 round/level;Reflex negates;See Text
Chalkboard;Illu;;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Figment of chalkboard up to 10 10 ft. square;Concentration + 1 round/level;Will disbelief (if interacted with);Creates opaque plane you can write on.
Changestones;Tran;;7;1 round;Touch;Target;Prepared stones touched.;1 hour/level (D);None;Prepared stones become liths.
Channeled Pyroburst;Evoc;Fire;4;See text;Medium (100 ft. + 10 ft./level);Area;See text;Instantaneous;Reflex half;Deal fire damage, amount and radius based on casting time.
Charm Monster;Ench;Mind-Affecting;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;1 day/level;Will negates;Makes monster believe it is your ally.
Charm Person;Ench;Mind-Affecting;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One humanoid creature;1 hour/level;Will negates;Makes one person your friend.
Circle Dance;Div;;3;1 minute;Personal;Target;You;Instantaneous;;Indicates direction to known target.
